"","Date","Value"
"1",2015-02-20,364.6
"2",2015-02-13,368.3
"3",2015-02-06,374.7
"4",2015-01-30,376.3
"5",2015-01-23,378.1
"6",2015-01-16,379.4
"7",2015-01-09,386.2
"8",2015-01-02,386.2
"9",2014-12-26,388.5
"10",2014-12-19,398.9
"11",2014-12-12,414.6
"12",2014-12-05,416.2
"13",2014-12-28,420.5
"14",2014-11-21,420.4
"15",2014-11-14,420.6
"16",2014-11-07,421.4
"17",2014-10-31,428.6
"18",2014-10-24,439.1
"19",2014-10-17,443.8
"20",2014-10-10,451.7
"21",2014-10-03,454.7
"22",2014-09-26,456.8
"23",2014-09-19,458.3
"24",2014-09-12,459.9
"25",2014-09-05,464.2
"26",2014-08-29,465.8
"27",2014-08-22,466.1
"28",2014-08-15,468.6
"29",2014-08-08,468.6
"30",2014-08-01,468.4
"31",2014-07-25,472.4
"32",2014-07-18,472.5
"33",2014-07-11,476.7
"34",2014-07-04,474.3
"35",2014-06-27,475.8
"36",2014-06-20,471.1
"37",2014-06-13,468.7
"38",2014-06-06,469.9
"39",2014-05-30,466.9
"40",2014-05-23,468.4
"41",2014-05-16,466.8
"42",2014-05-09,471.1
"43",2014-05-02,471.6
"44",2014-04-25,482.7
"45",2014-04-18,482
"46",2014-04-11,477.7
"47",2014-04-04,473.9
"48",2014-03-28,484
"49",2014-03-21,486.6
"50",2014-03-14,493.2
"51",2014-03-07,494.6
"52",2014-02-28,493.3
"53",2014-02-21,493.4
"54",2014-02-14,492.5
"55",2014-02-07,490.2
"56",2014-01-31,498.9
"57",2014-01-24,496.7
"58",2014-01-17,498.8
"59",2014-01-10,499.1
"60",2014-01-03,510.5
